Date,Price,Open,Vol.
9/12/2022,1735.6,1731,0.04
9/9/2022,1723.6,1716,0.02
9/8/2022,1715.3,1723.4,0.2
9/7/2022,1722.8,1722.8,173.62
9/2/2022,1717.7,1709.6,0
9/1/2022,1704.4,1708,0.01
8/31/2022,1721.4,1721.4,176.73
8/30/2022,1731.6,1731.6,130.66
8/29/2022,1740.5,1740.1,4.69
8/26/2022,1740.6,1762.3,7.63
8/25/2022,1761.8,1755.1,4.95
8/24/2022,1752,1752.2,4.64
8/23/2022,1751.5,1739.5,5.04
8/22/2022,1738.6,1750.5,7.38
8/19/2022,1753,1762.7,6.91
8/18/2022,1761.1,1766.3,3.92
8/17/2022,1766.5,1780.5,5.6
8/16/2022,1779.4,1785.2,3.52
8/15/2022,1787.9,1808.2,5.56
8/12/2022,1805.2,1793.9,5.25
8/11/2022,1796.8,1797.9,4.51
8/10/2022,1803.3,1799.8,8.71
8/9/2022,1801.5,1794,6.34
8/8/2022,1794.3,1780.3,4.37
8/5/2022,1780.5,1796,7.23
8/4/2022,1796.2,1771.9,9.44
8/3/2022,1766.1,1767.4,6.9
8/2/2022,1779.7,1779.3,9.85
8/1/2022,1777.6,1772.2,7.76
7/29/2022,1771.5,1762.4,7.96
7/28/2022,1759,1741.3,20.39
7/27/2022,1723.3,1720,2.6
7/26/2022,1721.9,1721.8,0.77
7/25/2022,1723.2,1730.1,0.52
7/22/2022,1731.4,1721,0.69
7/21/2022,1717.3,1697.1,0.53
7/20/2022,1703.9,1713.7,0.16
7/19/2022,1714.1,1711.2,0.1
7/18/2022,1713.8,1710.3,0.57
7/15/2022,1707.5,1712.7,0.27
7/14/2022,1709.9,1738.7,0.55
7/13/2022,1739.5,1728,0.18
7/12/2022,1728.9,1737.2,0.09
7/11/2022,1735.9,1741.8,0.75
7/8/2022,1746.7,1743.7,0.66
7/7/2022,1744.1,1743,0.79
7/6/2022,1741.3,1771.9,1.03
7/5/2022,1768.9,1817,1.33
7/4/2022,1763.9,1814.4,310.37
7/1/2022,1805.9,1810.3,0.23
6/30/2022,1812,1816.3,0.1
6/29/2022,1822,1822,155.54
6/28/2022,1821.2,1823.6,111.4
6/27/2022,1824.8,1839.6,143.82
6/24/2022,1830.3,1824.2,139.72
6/23/2022,1829.8,1839.7,167.07
6/22/2022,1838.4,1834.9,149.55
6/21/2022,1838.8,1840.6,176.3
6/20/2022,1838.8,1840.6,176.3
